Serial_Number,Roll_Num,Uni_ID,Student_Name,AML3201,CSL2301,CSL3307,CSL4207,CSL4208,CSL4305,CSL4318,CSL4336,CSL5210,CSP2301,ECL3311,GEW1601,GEW1603,GEW1604,GEW1605,GEW1607,GEW1608,GEW1609,GEW1610,GEW1611,GEW1613,HUL2401,HUL3301,AMP1201,CSP1307,CSP2210,ECP1311
 1,10123411,20012001,AAA AAA1,,81.82,,91.55,87.72,,83.33,76.74,,88.89,,,,,,,,,,,,,,,,,
 2,10123412,20012002,AAA AAA2,93.33,90.0,,77.19,86.21,,,,86.67,87.1,,,,,,,,,,100.0,,,,86.67,,81.97,
 3,10123413,20012003,AAA AAA3,,76.67,,75.44,,,,,80.0,80.65,,,,,100.0,,,,,,,,,86.67,,75.41,
 4,10123414,20012004,AAA AAA4,,78.79,,81.69,85.96,,86.67,86.05,,85.19,,,,,,,,,,,,,,,,,
 5,10123415,20012005,AAA AAA5,,78.79,,85.92,82.46,,93.33,81.4,,81.48,,,,,,,,,,,,,,,,,
 6,10123416,20012006,AAA AAA6,84.44,83.33,,75.44,86.21,,,,80.0,87.1,,,,,,,,,,100.0,,,,86.67,,77.05,
 7,10123417,20012007,AAA AAA7,,76.67,,75.44,75.86,,,,,80.65,,,,,,,,,,,100.0,,,80.0,,,
 8,10123418,20012008,AAA AAA8,86.67,,,77.19,77.59,,,,80.0,83.87,,,,,,,,,,100.0,,,,,,,
 9,10123419,20012009,AAA AAA9,84.44,86.67,,75.44,82.76,,,,86.67,87.1,,,,,100.0,,,,,,,,,80.0,,77.05,
 10,10123420,20012010,AAA AAA10,82.22,76.67,,80.7,82.76,,,,86.67,85.48,,,,,100.0,,,,,,,,,80.0,,,
 11,10123421,20012011,AAA AAA11,86.67,86.67,,,84.48,,,,93.33,83.87,,,,,100.0,,,,,,,,,80.0,,77.05,
 12,10123422,20012012,AAA AAA12,88.89,80.0,,80.7,82.76,,,,86.67,90.32,,,,,,,,,,100.0,,,,93.33,,86.89,
 13,10123423,20012013,AAA AAA13,86.67,80.0,,75.44,79.31,,,,80.0,83.87,,,,,100.0,,,,,,,,,86.67,,75.41,
 14,10123424,20012014,AAA AAA14,75.56,,,,,,,,80.0,77.42,,,,,,,100.0,,,,,,,,,,
 15,10123425,20012015,AAA AAA15,93.33,96.67,,87.72,89.66,,,,100.0,90.32,,,,,,,,,100.0,,,,,86.67,,86.89,
 16,10123426,20012016,AAA AAA16,,81.82,,80.28,77.19,,76.67,76.74,,79.63,,,,,,,,,,,,,,,,,
 17,10123427,20012017,AAA AAA17,,90.91,,100.0,91.23,,100.0,83.72,,94.44,,,,,,,,,,,,,,,,,
 18,10123428,20012018,AAA AAA18,,78.79,,88.73,78.95,,83.33,81.4,,81.48,,,,,,,,,,,,,,,,,
 19,10123429,20012019,AAA AAA19,100.0,93.33,,94.74,94.83,,,,93.33,96.77,,,,,100.0,,,,,,,,,100.0,,96.72,
 20,10123430,20012020,AAA AAA20,,81.82,,83.1,84.21,,93.33,83.72,,,,,,,,,,,,,,,,,,,
 21,10123431,20012021,AAA AAA21,86.67,80.0,,78.95,82.76,,,,86.67,80.65,,,,,100.0,,,,,,,,,86.67,,80.33,
 22,10123432,20012022,AAA AAA22,,76.67,,,,,,,80.0,77.42,,,,100.0,,,,,,,,,,,,,
,10123433,20012023,AAA AAA23,,76.67,,,,,,,80.0,77.42,,,,,,,,,87.5,,,,,76.67,,,
 24,10123434,20012024,AAA AAA24,82.22,86.67,,,79.31,,,,80.0,87.1,,,,,,,,,100.0,,,,,,,,
 25,10123435,20012025,AAA AAA25,86.67,76.67,,75.44,81.03,,,,76.67,79.03,,,,,,,,,,100.0,,,,86.67,,75.41,
 26,10123436,20012026,AAA AAA26,80.0,80.0,,75.44,81.03,,,,86.67,77.42,,,,,,,,,100.0,,,,,86.67,,,
 27,10123437,20012027,AAA AAA27,75.56,83.33,,77.19,75.86,,,,80.0,77.42,,,100.0,,,,,,,,,,,86.67,,78.69,
 28,10123438,20012028,AAA AAA28,75.56,76.67,,75.44,75.86,,,,80.0,77.42,,,100.0,,,,,,,,,,,83.33,,75.41,
 29,10123439,20012029,AAA AAA29,75.56,,,77.19,75.86,,,,76.67,75.81,,,,,,100.0,,,,,,,,80.0,,76.23,
 30,10123440,20012030,AAA AAA30,75.56,80.0,,75.44,,,,,,75.81,,,,,,,,,87.5,,,,,83.33,,,
 31,10123441,20012031,AAA AAA31,,,,,,,,,,,,,87.5,,,,,,,,,,,,,,
 32,10123442,20012032,AAA AAA32,84.44,76.67,,77.19,,,,,80.0,83.87,,,,,,,87.5,,,,,,,,,75.41,
 33,10123443,20012033,AAA AAA33,86.67,93.33,,89.09,85.71,,,,93.75,89.29,,,,,,,100.0,,,,,,,86.67,,81.36,
 34,10123444,20012034,AAA AAA34,82.22,80.0,,78.18,89.29,,,,75.0,85.71,,,,,,,,,87.5,,,,,93.33,,76.27,
 35,10123445,20012035,AAA AAA35,84.44,83.33,,76.36,85.71,,,,75.0,82.14,,,,,,,,,100.0,,,,,86.67,,79.66,
 36,10123446,20012036,AAA AAA36,80.0,80.0,,,85.71,,,,75.0,85.71,,,,,100.0,,,,,,,,,86.67,,,
 37,10123447,20012037,AAA AAA37,80.0,76.67,,80.0,82.14,,,,81.25,87.5,,,,100.0,,,,,,,,,,86.67,,76.27,
 38,10123448,20012038,AAA AAA38,,78.79,,88.73,84.21,,96.67,83.72,,81.48,,,,,,,,,,,,,,,,,
 39,10123449,20012039,AAA AAA39,77.78,76.67,,76.36,80.36,,,,81.25,82.14,,,,,,,,,,100.0,,,,86.67,,,
 40,10123450,20012040,AAA AAA40,80.0,83.33,,81.82,80.36,,,,81.25,82.14,,,,,100.0,,,,,,,,,80.0,,79.66,
 41,10123451,20012041,AAA AAA41,,,,,,,,,,,,,,100.0,,,,,,,,,,,,,
 42,10123452,20012042,AAA AAA42,88.89,83.33,,83.64,85.71,,,,90.63,91.07,,,,,,,,,,100.0,,,,93.33,,79.66,
 43,10123453,20012043,AAA AAA43,,78.79,,87.32,82.46,,96.67,83.72,,85.19,,,,,,,,,,,,,,,,,
 44,10123454,20012044,AAA AAA44,75.56,83.33,,76.36,75.0,,,,81.25,78.57,,,,,,,,100.0,,,,,,80.0,,76.27,
 45,10123455,20012045,AAA AAA45,75.56,80.0,,,75.0,,,,75.0,76.79,,,,100.0,,,,,,,,,,80.0,,,
 46,10123456,20012046,AAA AAA46,,75.76,,84.51,84.21,,93.33,79.07,,81.48,,,,,,,,,,,,,,,,,
 47,10123457,20012047,AAA AAA47,77.78,76.67,,81.82,82.14,,,,93.75,82.14,,,,,100.0,,,,,,,,,93.33,,80.51,
 48,10123458,20012048,AAA AAA48,80.0,83.33,,87.27,82.14,,,,93.75,83.93,,,,,,,,,100.0,,,,,86.67,,79.66,
 49,10123459,20012049,AAA AAA49,75.56,76.67,,76.36,78.57,,,,81.25,78.57,,,,,,,,100.0,,,,,,80.0,,75.42,
 50,10123460,20012050,AAA AAA50,77.78,86.67,,76.36,89.29,,,,87.5,96.43,,,,,,,75.0,,,,,,,80.0,,75.42,
 51,10123461,20012051,AAA AAA51,91.11,96.67,,87.27,91.07,,,,87.5,100.0,,,,,,,100.0,,,,,,,80.0,,89.83,
 52,10123462,20012052,AAA AAA52,84.44,80.0,,76.36,80.36,,,,87.5,85.71,,,,,100.0,,,,,,,,,86.67,,78.81,
,10123463,20012053,AAA AAA53,75.56,76.67,,76.36,,,,,75.0,78.57,,,75.0,,,,,,,,,,,86.67,,,
 54,10123464,20012054,AAA AAA54,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,
 55,10123465,20012055,AAA AAA55,,75.76,,85.92,89.47,,100.0,,,77.78,,,,,,,,,,,,,,,,,
 56,10123466,20012056,AAA AAA56,82.22,83.33,,76.36,87.5,,,,75.0,89.29,,,,,,,87.5,,,,,,,93.33,,79.66,
 57,10123467,20012057,AAA AAA57,91.11,86.67,,85.45,94.64,,,,93.75,94.64,,,,,100.0,,,,,,,,,86.67,,89.83,
