Serial_Number,Roll_Num,Uni_ID,Student_Name,AMP1201,CSP1307,CSP2210,ECP1311
 7,10123417,20012007,AAA AAA7,,,70.49,
 8,10123418,20012008,AAA AAA8,73.33,,73.77,
 10,10123420,20012010,AAA AAA10,,,73.77,
 14,10123424,20012014,AAA AAA14,66.67,,68.85,
 22,10123432,20012022,AAA AAA22,73.33,,72.13,
,10123433,20012023,AAA AAA23,,,73.77,
 24,10123434,20012024,AAA AAA24,73.33,,73.77,
 26,10123436,20012026,AAA AAA26,,,74.59,
 30,10123440,20012030,AAA AAA30,,,72.13,
 31,10123441,20012031,AAA AAA31,73.33,,70.49,
 32,10123442,20012032,AAA AAA32,73.33,,,
 36,10123446,20012036,AAA AAA36,,,74.58,
 39,10123449,20012039,AAA AAA39,,,72.88,
 41,10123451,20012041,AAA AAA41,66.67,,38.98,
 45,10123455,20012045,AAA AAA45,,,74.58,
,10123463,20012053,AAA AAA53,,,71.19,
 54,10123464,20012054,AAA AAA54,60.0,,54.24,
 76,10123486,20012076,AAA AAA76,62.07,,62.3,
 81,10123491,20012081,AAA AAA81,27.59,,36.07,
 85,10123495,20012085,AAA AAA85,58.62,,63.93,
 87,10123497,20012087,AAA AAA87,55.17,,,
 100,10123510,20012100,AAA AAA100,68.97,,,
 103,10123513,20012103,AAA AAA103,0.0,,0.0,
 109,10123519,20012109,AAA AAA109,0.0,,,
 116,10123526,20012116,AAA AAA116,,,72.13,
 117,10123527,20012117,AAA AAA117,66.67,,,
 126,10123536,20012126,AAA AAA126,20.0,,21.31,
 131,10123541,20012131,AAA AAA131,,,8.33,
 137,10123547,20012137,AAA AAA137,,,49.18,
 138,10123548,20012138,AAA AAA138,73.33,,,
 140,10123550,20012140,AAA AAA140,,,0.0,
 141,10123551,20012141,AAA AAA141,73.33,,50.82,
 142,10123552,20012142,AAA AAA142,33.33,,14.75,
 143,10123553,20012143,AAA AAA143,,,70.49,
 144,10123554,20012144,AAA AAA144,,,0.0,
 145,10123555,20012145,AAA AAA145,60.0,,44.26,
 146,10123556,20012146,AAA AAA146,73.33,,,
,10123557,20012147,AAA AAA147,66.67,,,
 148,10123558,20012148,AAA AAA148,66.67,,67.21,
 149,10123559,20012149,AAA AAA149,,,8.33,
 150,10123560,20012150,AAA AAA150,73.33,,68.85,
 154,10123564,20012154,AAA AAA154,,,0.0,
 155,10123565,20012155,AAA AAA155,,,0.0,
 157,10123567,20012157,AAA AAA157,40.0,,24.59,
 162,10123572,20012162,AAA AAA162,60.0,,59.02,
 165,10123575,20012165,AAA AAA165,73.33,,,
 166,10123576,20012166,AAA AAA166,,,0.0,
,10123577,20012167,AAA AAA167,,,73.77,
 168,10123578,20012168,AAA AAA168,,,0.0,
 179,10123589,20012179,AAA AAA179,66.67,,72.13,
 187,10123597,20012187,AAA AAA187,73.33,,68.85,
,10123598,20012188,AAA AAA188,,,73.77,
 189,10123599,20012189,AAA AAA189,,,0.0,
 190,10123600,20012190,AAA AAA190,,,68.85,
 193,10123603,20012193,AAA AAA193,,,73.77,
 198,10123608,20012198,AAA AAA198,,,41.67,
 210,10123620,20012210,AAA AAA210,73.33,,67.8,
 216,10123626,20012216,AAA AAA216,66.67,,55.93,
 218,10123628,20012218,AAA AAA218,,,72.88,
 223,10123633,20012223,AAA AAA223,,,74.58,
 228,10123638,20012228,AAA AAA228,,,74.58,
 232,10123642,20012232,AAA AAA232,,,67.8,
 244,10123654,20012244,AAA AAA244,73.33,,71.19,
 253,10123663,20012253,AAA AAA253,73.33,,72.88,
 256,10123666,20012256,AAA AAA256,73.33,,67.8,
 258,10123668,20012258,AAA AAA258,,,74.58,
 261,10123671,20012261,AAA AAA261,73.33,,71.19,
 262,10123672,20012262,AAA AAA262,,,72.88,
 268,10123678,20012268,AAA AAA268,,,62.71,
 272,10123682,20012272,AAA AAA272,,,71.19,
 276,10123686,20012276,AAA AAA276,60.0,,57.98,
 278,10123688,20012278,AAA AAA278,60.0,,46.22,
 283,10123693,20012283,AAA AAA283,,,68.07,
 288,10123698,20012288,AAA AAA288,,,69.75,
 300,10123710,20012300,AAA AAA300,53.33,,36.97,
 301,10123711,20012301,AAA AAA301,,,68.07,
 302,10123712,20012302,AAA AAA302,,,63.87,
 320,10123730,20012320,AAA AAA320,,,71.07,
 321,10123731,20012321,AAA AAA321,,,51.24,
 334,10123744,20012334,AAA AAA334,,,74.38,
 335,10123745,20012335,AAA AAA335,71.43,,74.38,
,10123749,20012339,AAA AAA339,,68.75,54.1,66.67
 340,10123750,20012340,AAA AAA340,,,72.13,
 342,10123752,20012342,AAA AAA342,,,,0.0
 343,10123753,20012343,AAA AAA343,,,,0.0
 344,10123754,20012344,AAA AAA344,,,,0.0
 345,10123755,20012345,AAA AAA345,,,,0.0
 346,10123756,20012346,AAA AAA346,,,,0.0
 347,10123757,20012347,AAA AAA347,,68.75,68.85,73.33
 348,10123758,20012348,AAA AAA348,,43.75,54.1,20.0
 349,10123759,20012349,AAA AAA349,,,,0.0
 350,10123760,20012350,AAA AAA350,,,,0.0
 353,10123763,20012353,AAA AAA353,,,,73.33
 355,10123765,20012355,AAA AAA355,,,73.77,
 358,10123768,20012358,AAA AAA358,,62.5,65.57,60.0
 359,10123769,20012359,AAA AAA359,,68.75,68.85,73.33
 362,10123772,20012362,AAA AAA362,,,60.66,
 364,10123774,20012364,AAA AAA364,,,65.57,73.33
 365,10123775,20012365,AAA AAA365,,,,0.0
 366,10123776,20012366,AAA AAA366,,71.88,70.49,66.67
 367,10123777,20012367,AAA AAA367,,,,0.0
 369,10123779,20012369,AAA AAA369,,,73.77,66.67
 371,10123781,20012371,AAA AAA371,,57.14,28.33,40.0
 372,10123782,20012372,AAA AAA372,,,73.33,
 373,10123783,20012373,AAA AAA373,,42.86,40.0,73.33
 377,10123787,20012377,AAA AAA377,,64.29,56.67,66.67
 379,10123789,20012379,AAA AAA379,,,58.33,53.33
 380,10123790,20012380,AAA AAA380,,67.86,46.67,66.67
 383,10123793,20012383,AAA AAA383,,71.43,60.0,66.67
 385,10123795,20012385,AAA AAA385,,,71.67,73.33
 386,10123796,20012386,AAA AAA386,,,53.33,66.67
 391,10123801,20012391,AAA AAA391,,,68.33,
 393,10123803,20012393,AAA AAA393,,,68.33,73.33
 396,10123806,20012396,AAA AAA396,,71.43,55.0,73.33
 398,10123808,20012398,AAA AAA398,,,66.67,
 400,10123810,20012400,AAA AAA400,,,68.33,
 401,10123811,20012401,AAA AAA401,,,71.67,73.33
 402,10123812,20012402,AAA AAA402,,,73.33,
 403,10123813,20012403,AAA AAA403,,,66.67,
 405,10123815,20012405,AAA AAA405,,,70.0,
 417,10123827,20012417,AAA AAA417,,,73.33,
 418,10123828,20012418,AAA AAA418,,6.67,2.94,7.69
 420,10123830,20012420,AAA AAA420,,73.33,,69.23
 422,10123832,20012422,AAA AAA422,,20.0,26.47,23.08
 428,10123838,20012428,AAA AAA428,,73.33,71.67,69.23
 443,10123853,20012443,AAA AAA443,,56.25,60.0,
 444,10123854,20012444,AAA AAA444,,6.25,25.83,16.67
 445,10123855,20012445,AAA AAA445,,,71.67,
 450,10123860,20012450,AAA AAA450,,,71.67,
 452,10123862,20012452,AAA AAA452,,,70.0,
 453,10123863,20012453,AAA AAA453,,62.5,41.67,58.33
 455,10123865,20012455,AAA AAA455,,56.25,31.67,25.0
 457,10123867,20012457,AAA AAA457,,,65.0,66.67
 459,10123869,20012459,AAA AAA459,,68.75,,
 460,10123870,20012460,AAA AAA460,,68.75,,66.67
 461,10123871,20012461,AAA AAA461,,,71.67,
 463,10123873,20012463,AAA AAA463,,,66.67,
 472,10123882,20012472,AAA AAA472,,62.5,66.67,66.67
 476,10123886,20012476,AAA AAA476,,,37.29,33.33
,10123887,20012477,AAA AAA477,,,,0.0
,10123893,20012483,AAA AAA483,,,,0.0
 485,10123895,20012485,AAA AAA485,,,,0.0
 486,10123896,20012486,AAA AAA486,,,,0.0
 487,10123897,20012487,AAA AAA487,,,73.73,
 488,10123898,20012488,AAA AAA488,,71.43,,
 489,10123899,20012489,AAA AAA489,,50.0,37.29,53.33
 499,10123909,20012499,AAA AAA499,,,33.9,0.0
 500,10123910,20012500,AAA AAA500,,50.0,61.02,66.67
 506,10123916,20012506,AAA AAA506,,73.33,68.97,62.5
 509,10123919,20012509,AAA AAA509,,,72.41,68.75
 510,10123920,20012510,AAA AAA510,,,74.14,68.75
 511,10123921,20012511,AAA AAA511,,,,0.0
,10123923,20012513,AAA AAA513,,60.0,59.48,62.5
 515,10123925,20012515,AAA AAA515,,,,0.0
 517,10123927,20012517,AAA AAA517,,,70.69,
 523,10123933,20012523,AAA AAA523,,73.33,,
 524,10123934,20012524,AAA AAA524,,,69.83,56.25
 527,10123937,20012527,AAA AAA527,,,,0.0
 529,10123939,20012529,AAA AAA529,,73.33,67.24,62.5
 530,10123940,20012530,AAA AAA530,,,,0.0
 532,10123942,20012532,AAA AAA532,,,66.38,62.5
 534,10123944,20012534,AAA AAA534,,,0.0,0.0
 536,10123946,20012536,AAA AAA536,,,,50.0
,10123949,20012539,AAA AAA539,,33.33,51.85,50.0
 540,10123950,20012540,AAA AAA540,,46.67,48.15,25.0
 541,10123951,20012541,AAA AAA541,,,0.0,0.0
 543,10123953,20012543,AAA AAA543,,73.33,,
 552,10123962,20012552,AAA AAA552,,,0.0,0.0
 554,10123964,20012554,AAA AAA554,,,0.0,0.0
 555,10123965,20012555,AAA AAA555,,,0.0,0.0
 557,10123967,20012557,AAA AAA557,,,0.0,33.33
 558,10123968,20012558,AAA AAA558,,,0.0,33.33
 559,10123969,20012559,AAA AAA559,,50.0,64.17,48.28
 560,10123970,20012560,AAA AAA560,,71.43,71.67,
 561,10123971,20012561,AAA AAA561,,71.43,71.67,55.17
 563,10123973,20012563,AAA AAA563,,71.43,71.67,48.28
 564,10123974,20012564,AAA AAA564,,,,68.97
 565,10123975,20012565,AAA AAA565,,,,68.97
 566,10123976,20012566,AAA AAA566,,,73.33,62.07
 568,10123978,20012568,AAA AAA568,,,,68.97
 569,10123979,20012569,AAA AAA569,,,0.0,0.0
 570,10123980,20012570,AAA AAA570,,,,72.41
 573,10123983,20012573,AAA AAA573,,35.71,60.0,48.28
